[08:34:15] [INFO] [MQTT] Conectado exitosamente con código: 0
[13:11:48] [DEBUG] Archivo dispositivos.json cargado con 4 dispositivos.
[13:12:38] [DEBUG] Archivo dispositivos.json cargado con 4 dispositivos.
[13:12:41] [DEBUG] Archivo dispositivos.json cargado con 4 dispositivos.
[13:12:43] [DEBUG] Archivo dispositivos.json cargado con 4 dispositivos.
[13:12:47] [DEBUG] Archivo dispositivos.json cargado con 4 dispositivos.
[13:12:48] [DEBUG] Archivo dispositivos.json cargado con 4 dispositivos.
[13:13:06] [DEBUG] Archivo dispositivos.json cargado con 4 dispositivos.
[13:13:09] [DEBUG] Archivo dispositivos.json cargado con 4 dispositivos.
[13:13:10] [DEBUG] Archivo dispositivos.json cargado con 4 dispositivos.
[13:13:17] [DEBUG] Archivo dispositivos.json cargado con 4 dispositivos.
[13:13:21] [DEBUG] Archivo dispositivos.json cargado con 4 dispositivos.
[13:14:05] [DEBUG] Archivo dispositivos.json cargado con 4 dispositivos.
[13:15:31] [DEBUG] Archivo dispositivos.json cargado con 4 dispositivos.
[13:16:09] [DEBUG] Archivo dispositivos.json cargado con 4 dispositivos.
[13:16:15] [DEBUG] Archivo dispositivos.json cargado con 4 dispositivos.
[13:16:16] [DEBUG] Archivo dispositivos.json cargado con 4 dispositivos.
[13:16:52] [DEBUG] Archivo dispositivos.json cargado con 4 dispositivos.
[13:17:13] [DEBUG] Archivo dispositivos.json cargado con 4 dispositivos.
[13:17:18] [DEBUG] Archivo dispositivos.json cargado con 4 dispositivos.
[13:18:23] [DEBUG] Archivo dispositivos.json cargado con 4 dispositivos.
[13:18:26] [DEBUG] Archivo dispositivos.json cargado con 4 dispositivos.
[13:20:30] [DEBUG] Archivo dispositivos.json cargado con 4 dispositivos.
[13:25:06] [DEBUG] Archivo dispositivos.json cargado con 4 dispositivos.
[13:25:07] [DEBUG] Archivo dispositivos.json cargado con 4 dispositivos.
[13:25:08] [DEBUG] Archivo dispositivos.json cargado con 4 dispositivos.
[13:25:10] [DEBUG] Archivo dispositivos.json cargado con 4 dispositivos.
[13:25:11] [DEBUG] Archivo dispositivos.json cargado con 4 dispositivos.
[13:25:16] [DEBUG] Archivo dispositivos.json cargado con 4 dispositivos.
[13:25:37] [DEBUG] Archivo dispositivos.json cargado con 4 dispositivos.
[13:25:40] [DEBUG] Archivo dispositivos.json cargado con 4 dispositivos.
[13:25:41] [DEBUG] Archivo dispositivos.json cargado con 4 dispositivos.
[13:25:42] [DEBUG] Archivo dispositivos.json cargado con 4 dispositivos.
[13:25:44] [DEBUG] Archivo dispositivos.json cargado con 4 dispositivos.
[13:26:24] [DEBUG] Archivo dispositivos.json cargado con 4 dispositivos.
